,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
273,"Asenijeff, Elsa",Asenijeff Elsa,Asenijeff,Elsa,.
274,Asmodi,Asmodi,Asmodi,,.
275,"Asmus, Georg",Asmus Georg,Asmus,Georg,28. März1830
276,"Asmus, Martha",Asmus Martha,Asmus,Martha,.
277,"Asmus, Wilhelm",Asmus Wilhelm,Asmus,Wilhelm,.
278,"Asmussen, Georg",Asmussen Georg,Asmussen,Georg,14.Mai 1856
279,"Aßmus, Burghard Hartwig",Aßmus Burghard Hartwig,Aßmus,Burghard Hartwig,.
280,"Assur, David Jakob",Assur David Jakob,Assur,David Jakob,1.Juli 1867
281,"Astfalk, Cäsar",Astfalk Cäsar,Astfalk,Cäsar,14. Juli1835
282,"Astl-Leonhard, Anna",Astl-Leonhard Anna,Astl-Leonhard,Anna, Oktober1894
283,"Astl-Leonhard, Hugo",Astl-Leonhard Hugo,Astl-Leonhard,Hugo,9. Juni 1870
284,"Aston, Luise",Aston Luise,Aston,Luise,26.Nov. 1814
285,"Astura, Manfred",Astura Manfred,Astura,Manfred,.
286,Ati Kambang,Ati Kambang,Ati Kambang,,.
287,"Attol, G",Attol G,Attol,G,.
288,"Au, E. L. von der",Au E. L.,Au,E. L.,.
289,"Aub, Ludwig",Aub Ludwig,Aub,Ludwig,4. August1862
290,"Aubingen, Franz von",Aubingen Franz,Aubingen,Franz,.
291,"Auch, August Karl",Auch August Karl,Auch,August Karl,5. Septbr. 1817
292,"Audorf, Jakob",Audorf Jakob,Audorf,Jakob,1. August1835
293,"Aue, Ulrich",Aue Ulrich,Aue,Ulrich,19. Februar1845
294,"Auer, Adelheid von",Auer Adelheid,Auer,Adelheid,.
295,"Auer, Erwin",Auer Erwin,Auer,Erwin,.
296,"Auer, Grete",Auer Grete,Auer,Grete,.
297,"Auer, Ludwig",Auer Ludwig,Auer,Ludwig,.
298,"Auerbach, Alfred",Auerbach Alfred,Auerbach,Alfred,9.Juni 1873
299,"Auerbach, Berthold",Auerbach Berthold,Auerbach,Berthold,28. Februar 1812
300,"Auerbach, Ludwig",Auerbach Ludwig,Auerbach,Ludwig,5. Septbr. 1840
301,"Auernheimer, Raoul",Auernheimer Raoul,Auernheimer,Raoul,15. April 1876
302,"Auersperg, Anton Alexander Graf von",Auersperg Anton Alexander,Auersperg,Anton Alexander,15.April 1861
303,"Auffenberg, Joseph",Auffenberg Joseph,Auffenberg,Joseph,16. April 1839
304,"Aufrecht, Theodor",Aufrecht Theodor,Aufrecht,Theodor,7. Januar 1822
305,"August, Karl",August Karl,August,Karl,.
